[2022-05-10 18:35:08,127]:[INFO]:[register_test.py]:[打开浏览器]
[2022-05-10 18:35:53,131]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 18:36:05,382]:[INFO]:[register_test.py]:[输入用户名:26645456@qq.com]
[2022-05-10 18:36:05,439]:[INFO]:[register_test.py]:[输入验证码:123456]
[2022-05-10 18:36:05,496]:[INFO]:[register_test.py]:[输入密码:123456a]
[2022-05-10 18:36:05,525]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 18:36:13,558]:[ERROR]:[register_test.py]:[用例错误！]
[2022-05-10 18:36:14,326]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 18:36:26,571]:[INFO]:[register_test.py]:[输入用户名:5599667@qq.com]
[2022-05-10 18:36:26,625]:[INFO]:[register_test.py]:[输入验证码:123456]
[2022-05-10 18:36:26,682]:[INFO]:[register_test.py]:[输入密码:123456a]
[2022-05-10 18:36:26,710]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 18:36:34,730]:[ERROR]:[register_test.py]:[用例错误！]
[2022-05-10 18:36:34,810]:[INFO]:[register_test.py]:[关闭浏览器]
[2022-05-10 19:19:59,541]:[INFO]:[register_test.py]:[打开浏览器]
[2022-05-10 19:20:55,095]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 19:21:07,321]:[INFO]:[register_test.py]:[输入用户名:26645456@qq.com]
[2022-05-10 19:21:07,378]:[INFO]:[register_test.py]:[输入验证码:123456a]
[2022-05-10 19:21:07,438]:[INFO]:[register_test.py]:[输入密码:123456]
[2022-05-10 19:21:12,483]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 19:21:20,707]:[ERROR]:[register_test.py]:[用例错误！]
[2022-05-10 19:21:21,381]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 19:21:33,638]:[INFO]:[register_test.py]:[输入用户名:5599667@qq.com]
[2022-05-10 19:21:33,695]:[INFO]:[register_test.py]:[输入验证码:123456a]
[2022-05-10 19:21:33,752]:[INFO]:[register_test.py]:[输入密码:123456]
[2022-05-10 19:21:38,787]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 19:21:47,012]:[ERROR]:[register_test.py]:[用例错误！]
[2022-05-10 19:21:47,093]:[INFO]:[register_test.py]:[关闭浏览器]
[2022-05-10 19:25:40,826]:[INFO]:[register_test.py]:[打开浏览器]
[2022-05-10 19:26:36,201]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 19:26:48,457]:[INFO]:[register_test.py]:[输入用户名:26645456@qq.com]
[2022-05-10 19:26:48,522]:[INFO]:[register_test.py]:[输入验证码:123456]
[2022-05-10 19:26:48,585]:[INFO]:[register_test.py]:[输入密码:123456a]
[2022-05-10 19:26:53,619]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 19:27:00,342]:[INFO]:[register_test.py]:[注册成功]
[2022-05-10 19:27:06,601]:[INFO]:[register_test.py]:[退出登录]
[2022-05-10 19:27:06,714]:[INFO]:[register_test.py]:[打开页面]
[2022-05-10 19:27:18,979]:[INFO]:[register_test.py]:[输入用户名:5599667@qq.com]
[2022-05-10 19:27:19,037]:[INFO]:[register_test.py]:[输入验证码:123456]
[2022-05-10 19:27:19,097]:[INFO]:[register_test.py]:[输入密码:123456a]
[2022-05-10 19:27:24,146]:[INFO]:[register_test.py]:[登陆]
[2022-05-10 19:27:31,061]:[INFO]:[register_test.py]:[注册成功]
[2022-05-10 19:27:31,080]:[ERROR]:[register_test.py]:[用例错误！]
[2022-05-10 19:27:31,186]:[INFO]:[register_test.py]:[关闭浏览器]
